档号,题名,责任者,形成时间,归档时间,保管期限,密级,文件名,文件大小,文件格式,页数,摘要,主题词,类别
DA-01-001-0001,关于2024年度工作计划的通知,省档案局,2024-01-15,2024-02-01,30年,内部,DA-01-001-0001.pdf,204800,PDF,5,2024年度全局工作安排,工作计划;通知,文书档案
DA-01-001-0002,2023年度工作总结,省档案局,2024-01-20,2024-02-01,永久,公开,DA-01-001-0002.pdf,307200,PDF,8,2023年各项工作完成情况总结,工作总结;年度报告,文书档案
DA-01-001-0003,档案数字化项目招标文件,信息技术处,2024-02-10,2024-03-01,10年,内部,DA-01-001-0003.docx,102400,DOCX,12,数字化项目招标相关文件,招标;数字化,科技档案
DA-01-001-0004,2024年第一季度会计报表,财务处,2024-04-05,2024-04-15,永久,秘密,DA-01-001-0004.xlsx,51200,XLSX,3,第一季度财务收支情况报表,会计报表;一季度,会计档案
DA-01-001-0005,档案工作会议现场照片,办公室,2024-03-20,2024-04-01,30年,公开,DA-01-001-0005.jpg,2048000,JPG,1,全省档案工作会议现场照片,会议;照片,声像档案
DA-01-001-0006,关于加强档案安全管理的通知,安全管理处,2024-01-01,,30年,内部,DA-01-001-0006.pdf,102400,PDF,4,档案安全管理相关要求,安全管理;通知,文书档案
DA-01-001-0007,2023年度经费决算报告,财务处,2024-02-28,2023-01-15,永久,秘密,DA-01-001-0007.xlsx,76800,XLSX,5,2023年度经费决算情况,决算;财务报告,会计档案
DA-01-001-0008,档案库房建设项目验收报告,基建处,2024-05-10,2024-06-01,永久,内部,DA-01-001-0008.pdf,512000,PDF,20,档案库房建设项目竣工验收报告,基建;验收报告,科技档案
DA-01-001-0009,2024年档案干部培训录像,人事处,2024-06-15,2024-07-01,30年,内部,DA-01-001-0009.mp4,52428800,MP4,1,档案干部业务培训视频,培训;录像,声像档案
DA-01-001-0010,档案室设备采购合同,采购办,2024-03-01,2024-04-01,10年,内部,DA-01-001-0010.pdf,153600,PDF,6,档案设备采购合同文件,采购;合同,文书档案
