imo,vessel_name,vessel_type,net_tonnage,arrival_time,departure_time,port_code,cargo_tonnage,pilot_hours,tug_count,tug_hours
9632091,COSCO SHIPPING UNIVERSE,container,241880,2024-01-15 08:00,2024-01-17 14:30,SHA,50000,4,3,4
9434801,CSCL GLOBE,container,184605,2024-01-16 06:30,2024-01-18 10:00,SHA,35000,3,2,3
9702287,MARVELLOUS,bulk,104478,2024-01-18 10:00,2024-01-20 18:00,NGB,80000,5,4,5
9512054,TIAN JIN HE,oil,50648,2024-01-20 04:00,2024-01-22 08:30,QDO,45000,6,2,4
9813925,GASLOG GIBRALTAR,lpg,92878,2024-01-22 14:00,2024-01-24 20:00,SZX,60000,5,3,4
9759090,BALTIC ACE,ro-ro,18861,2024-01-25 09:00,2024-01-26 16:30,TJJ,5000,3,2,2
9702197,MSC OSCAR,container,192237,2024-02-05 11:00,2024-02-07 16:00,SHA,40000,4,3,4
9850551,CMA CGM JACQUES SAADE,container,236583,2024-02-10 07:30,2024-02-12 20:00,NGB,48000,4,3,4
9747381,NORTHERN JUBILEE,bulk,150348,2024-02-15 13:00,2024-02-18 09:00,XMN,120000,6,4,6
9575443,FRONT CENTURION,oil,157144,2024-02-20 03:30,2024-02-22 12:30,DAL,130000,5,3,5
