素材ID,素材名称,类型,场次,镜头,文件路径,反馈ID,反馈状态,优先级,提交人,反馈内容,时间码,创建时间
mat_1_0000_cxy7,music_SC024_SH002_0001,music,SC024,SH002,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC024/SH002/music_SC024_SH002_0001.wav,fb_mqoc5dc0p2ftef,pending,normal,客户,测试反馈内容,,2026-06-22 06:05
mat_1_0208_zywp,dialogue_SC034_SH017_0209,dialogue,SC034,SH017,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC034/SH017/dialogue_SC034_SH017_0209.aiff,fb_1_9_fmjk,pending,normal,声音总监,对白清晰度不够，请降噪处理,,2026-04-04 07:14
mat_1_0289_ogaf,music_SC031_SH004_0290,music,SC031,SH004,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC031/SH004/music_SC031_SH004_0290.wav,fb_1_16_p2v4,pending,low,导演组,时间点00:15:30的对话需要重新配音,,2026-03-30 13:52
mat_1_0291_znr1,dialogue_SC040_SH006_0292,dialogue,SC040,SH006,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC040/SH006/dialogue_SC040_SH006_0292.aiff,fb_1_29_8bh7,pending,normal,剪辑指导,背景音乐音量过大，盖过了台词,,2026-03-28 06:24
mat_1_0110_3ts0,ambience_SC037_SH018_0111,ambience,SC037,SH018,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC037/SH018/ambience_SC037_SH018_0111.flac,fb_1_33_vfp5,pending,high,剪辑指导,整体混音需要再平衡一下各轨道电平,00:01:40:电平偏低,2026-03-26 17:14
mat_1_0156_f2ag,foley_SC012_SH017_0157,foley,SC012,SH017,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC012/SH017/foley_SC012_SH017_0157.aiff,fb_1_31_c3dt,pending,normal,客户A,对白清晰度不够，请降噪处理,00:03:25:音质需提升 | 00:03:48:有杂音 | 00:00:57:混音再润色 | 00:01:26:时间点不对 | 00:00:46:对白替换 | 00:00:34:电平偏低 | 00:02:41:混音再润色 | 00:05:35:电平偏低,2026-03-14 01:27
mat_1_0014_187q,dialogue_SC014_SH020_0015,dialogue,SC014,SH020,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC014/SH020/dialogue_SC014_SH020_0015.mp3,fb_1_12_cbx3,pending,low,导演组,背景音乐音量过大，盖过了台词,,2026-03-08 21:02
mat_1_0109_4cmx,foley_SC038_SH012_0110,foley,SC038,SH012,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC038/SH012/foley_SC038_SH012_0110.wav,fb_1_13_q5eo,pending,low,声音总监,此段通过，效果非常好,00:01:35:电平偏低 | 00:04:12:有杂音 | 00:02:28:有杂音 | 00:00:37:混音再润色 | 00:02:51:混音再润色 | 00:04:37:有杂音 | 00:03:29:时间点不对 | 00:01:37:音质需提升 | 00:00:15:音质需提升 | 00:00:50:对白替换,2026-03-07 01:06
mat_1_0070_eyoa,foley_SC025_SH001_0071,foley,SC025,SH001,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC025/SH001/foley_SC025_SH001_0071.aiff,fb_1_6_ppbs,pending,normal,声音总监,背景音乐音量过大，盖过了台词,00:01:18:时间点不对 | 00:01:37:对白替换 | 00:01:24:此处需调整 | 00:02:00:此处需调整,2026-03-06 14:12
mat_1_0285_sd98,music_SC010_SH009_0286,music,SC010,SH009,/Users/paul/WorkSpace/TestSoloCoder/d604dffb-62e7-42ce-91f7-9f489e0f3800/projects/proj_0001/raw/SC010/SH009/music_SC010_SH009_0286.aiff,fb_1_7_srva,pending,normal,客户B,时间点00:15:30的对话需要重新配音,,2026-03-04 13:32
